,Unnamed: 0,sms,happy,joke,astonished,angry,bored,heart,filter,tokens
1,4,Oh trop mignon mon bbé jsuis au travaiiiil la,False,False,False,False,False,True,True,"['Oh', 'trop', 'mignon', 'mon', 'bbé', 'jsuis', 'au', 'travaiiiil', 'la']"
3,6,"Mon cher et tendre filleul... Je m'engage a etre a tes coté tt au long de ta vie... A te soutenir ds tes moments difficiles et a partager tes bons moments, je souhaite etre la pr toi qd tu en auras besoin... Un soutien, un avis,une Amie... Tu viens de rentrer ds ma famille et j'en suis fière, notre relation va s'epanouir quel bonheur!!! [_forename_] ta marraine ...",False,False,False,False,False,True,True,"['Mon', 'cher', 'et', 'tendre', 'filleul', '...', 'Je', ""m'"", 'engage', 'a', 'etre', 'a', 'tes', 'coté', 'tt', 'au', 'long', 'de', 'ta', 'vie', '...', 'A', 'te', 'soutenir', 'ds', 'tes', 'moments', 'difficiles', 'et', 'a', 'partager', 'tes', 'bons', 'moments', ',', 'je', 'souhaite', 'etre', 'la', 'pr', 'toi', 'qd', 'tu', 'en', 'auras', 'besoin', '...', 'Un', 'soutien', ',', 'un', 'avis', ',', 'une', 'Amie', '...', 'Tu', 'viens', 'de', 'rentrer', 'ds', 'ma', 'famille', 'et', ""j'"", 'en', 'suis', 'fière', ',', 'notre', 'relation', 'va', ""s'"", 'epanouir', 'quel', 'bonheur', '!!!', '[', '_forename_', ']', 'ta', 'marraine', '...']"
4,7,Ohhhhhh non ! Héhé j'te texto en mode scred mon bbé,False,False,False,False,False,True,True,"['Ohhhhhh', 'non', '!', 'Héhé', ""j'"", 'te', 'texto', 'en', 'mode', 'scred', 'mon', 'bbé']"
6,11,Non chez mon arriere grand mere juste a coté de chez mes grands parents,False,True,False,False,False,False,True,"['Non', 'chez', 'mon', 'arriere', 'grand', 'mere', 'juste', 'a', 'coté', 'de', 'chez', 'mes', 'grands', 'parents']"
7,14,Demain jai deux heures de pause si tu veux on peut manger ensemble ? De 11h45 a 13h45 ? Bisous ma biche,False,True,False,False,False,False,True,"['Demain', 'jai', 'deux', 'heures', 'de', 'pause', 'si', 'tu', 'veux', 'on', 'peut', 'manger', 'ensemble', '?', 'De', '11', 'h45', 'a', '13', 'h45', '?', 'Bisous', 'ma', 'biche']"
10,21,Punaise. Me souviens plus,False,False,False,True,False,False,True,"['Punaise', '.', 'Me', 'souviens', 'plus']"
11,23,"Tkt tu ne me deranges pas ! Je sais pas du tout, je suis en robe mais bon j'met jamais de pantalon jean tshirt assez joli ca le fait je pense ! C:est pas un pyjama hahaha",False,False,False,True,False,False,True,"['Tkt', 'tu', 'ne', 'me', 'deranges', 'pas', '!', 'Je', 'sais', 'pas', 'du', 'tout', ',', 'je', 'suis', 'en', 'robe', 'mais', 'bon', ""j'"", 'met', 'jamais', 'de', 'pantalon', 'jean', 'tshirt', 'assez', 'joli', 'ca', 'le', 'fait', 'je', 'pense', '!', 'C', ':', 'est', 'pas', 'un', 'pyjama', 'hahaha']"
12,24,Cc ma chérie ça va ? Dis moi kes ki c passe avc le taf ? Un pblm ? Gros bisous,False,False,False,False,False,True,True,"['Cc', 'ma', 'chérie', 'ça', 'va', '?', 'Dis', 'moi', 'kes', 'ki', 'c', 'passe', 'avc', 'le', 'taf', '?', 'Un', 'pblm', '?', 'Gros', 'bisous']"
13,25,savvva alors,False,False,False,False,False,True,True,"['savvva', 'alors']"
14,27,"Coucou mon [_nickname_] ! J'espere que tu vas bien et que j'te derange pas. C'etait juste pour te prevenir que ma maman etait v'nu posee mon cachet dans ta voiture, comme ils avaient des trucs a faire et que je savais pas si tu irais ou pas. Voilà! Tu m'tiens au courant de quand vous venez! Biiisoux",False,False,False,False,False,True,True,"['Coucou', 'mon', '[', '_nickname_', ']', '!', ""J'"", 'espere', 'que', 'tu', 'vas', 'bien', 'et', 'que', ""j'"", 'te', 'derange', 'pas', '.', ""C'"", 'etait', 'juste', 'pour', 'te', 'prevenir', 'que', 'ma', 'maman', 'etait', ""v'"", 'nu', 'posee', 'mon', 'cachet', 'dans', 'ta', 'voiture', ',', 'comme', 'ils', 'avaient', 'des', 'trucs', 'a', 'faire', 'et', 'que', 'je', 'savais', 'pas', 'si', 'tu', 'irais', 'ou', 'pas', '.', 'Voilà', '!', 'Tu', ""m'"", 'tiens', 'au', 'courant', 'de', 'quand', 'vous', 'venez', '!', 'Biiisoux']"
15,28,Non je viens de voir l'heure qu'il etait et j'y serai pas moi je suis pas prêt encore j'aurai pas le temps. Si jamais tu peux y aller? Sinon jai envoyé un mail mais ac tous les mails qu'elle doit avoir en rentrée... Ça me fait peur j'espère que c'est pas que sur cette semaine... Ils Me gonflent bisous,False,False,False,True,False,False,True,"['Non', 'je', 'viens', 'de', 'voir', ""l'"", 'heure', ""qu'"", 'il', 'etait', 'et', ""j'"", 'y', 'serai', 'pas', 'moi', 'je', 'suis', 'pas', 'prêt', 'encore', ""j'"", 'aurai', 'pas', 'le', 'temps', '.', 'Si', 'jamais', 'tu', 'peux', 'y', 'aller', '?', 'Sinon', 'jai', 'envoyé', 'un', 'mail', 'mais', 'ac', 'tous', 'les', 'mails', ""qu'"", 'elle', 'doit', 'avoir', 'en', 'rentrée', '...', 'Ça', 'me', 'fait', 'peur', ""j'"", 'espère', 'que', ""c'"", 'est', 'pas', 'que', 'sur', 'cette', 'semaine', '...', 'Ils', 'Me', 'gonflent', 'bisous']"
18,49,Quelle bosseuse!,False,False,True,False,False,False,True,"['Quelle', 'bosseuse', '!']"
19,56,Tu aurais pu me le dire avant,False,False,False,True,False,False,True,"['Tu', 'aurais', 'pu', 'me', 'le', 'dire', 'avant']"
20,57,J'en sais fichtre rien!,False,True,False,False,False,False,True,"[""J'"", 'en', 'sais', 'fichtre', 'rien', '!']"
21,68,Bonne nuit,False,False,False,False,False,True,True,"['Bonne', 'nuit']"
22,74,Nan mais tkt ! Et puis moi je peut pas ecrire 2 pages !,False,False,False,True,False,False,True,"['Nan', 'mais', 'tkt', '!', 'Et', 'puis', 'moi', 'je', 'peut', 'pas', 'ecrire', '2', 'pages', '!']"
23,75,J'ai kiffé,False,False,False,False,False,True,True,"[""J'"", 'ai', 'kiffé']"
24,76,Bah j'espere,False,False,False,False,False,True,True,"['Bah', ""j'"", 'espere']"
25,77,J'taime,False,False,False,False,False,True,True,"[""J'"", 'taime']"
26,78,Sinon t'est immature mais dit le sa te fera rien !,False,False,False,True,False,False,True,"['Sinon', ""t'"", 'est', 'immature', 'mais', 'dit', 'le', 'sa', 'te', 'fera', 'rien', '!']"
27,79,Nan nan tu me le dit tu gere pas la !,False,False,False,True,False,False,True,"['Nan', 'nan', 'tu', 'me', 'le', 'dit', 'tu', 'gere', 'pas', 'la', '!']"
28,85,En meme temps c'est pas dur,False,True,False,False,False,False,True,"['En', 'meme', 'temps', ""c'"", 'est', 'pas', 'dur']"
29,90,Ok [_nickname_] pas de soucis je te tel kan j'ai finis ok ?,False,False,False,False,False,True,True,"['Ok', '[', '_nickname_', ']', 'pas', 'de', 'soucis', 'je', 'te', 'tel', 'kan', ""j'"", 'ai', 'finis', 'ok', '?']"
30,96,Ok ok Et oui ca va,True,False,False,False,False,False,True,"['Ok', 'ok', 'Et', 'oui', 'ca', 'va']"
31,98,Je suis pas sure des dates. Je suis en stage au festival de la guitare maintenant jusqu'au 15 octobre ils m'ont embauché Haha,False,True,False,False,False,False,True,"['Je', 'suis', 'pas', 'sure', 'des', 'dates', '.', 'Je', 'suis', 'en', 'stage', 'au', 'festival', 'de', 'la', 'guitare', 'maintenant', ""jusqu'"", 'au', '15', 'octobre', 'ils', ""m'"", 'ont', 'embauché', 'Haha']"
32,99,Bon film!,True,False,False,False,False,False,True,"['Bon', 'film', '!']"
33,100,Oh ma chérie merci beaucoup ! Love you so much!,False,False,False,False,False,True,True,"['Oh', 'ma', 'chérie', 'merci', 'beaucoup', '!', 'Love', 'you', 'so', 'much', '!']"
35,109,Coucou je voulais juste te dire que ton coup de fil m'a vraiment fait très plaisir =D tu me manques beaucoup mon pti [_forename_] . Gros bisous et bonne journée,False,False,False,False,False,True,True,"['Coucou', 'je', 'voulais', 'juste', 'te', 'dire', 'que', 'ton', 'coup', 'de', 'fil', ""m'"", 'a', 'vraiment', 'fait', 'très', 'plaisir', '=', 'D', 'tu', 'me', 'manques', 'beaucoup', 'mon', 'pti', '[', '_forename_', ']', '.', 'Gros', 'bisous', 'et', 'bonne', 'journée']"
36,112,Alors sa va ? Tu tient le cout ?,False,False,False,False,False,True,True,"['Alors', 'sa', 'va', '?', 'Tu', 'tient', 'le', 'cout', '?']"
37,113,Je t'aime tre fort,False,False,False,False,False,True,True,"['Je', ""t'"", 'aime', 'tre', 'fort']"
38,121,Coucou mon coeur. J'espère que tu as passer une bonne journée. Je pense m'endormir rapidement. Fais de beau reve. Bonne nuit. A demain. je t'aime,False,False,False,False,False,True,True,"['Coucou', 'mon', 'coeur', '.', ""J'"", 'espère', 'que', 'tu', 'as', 'passer', 'une', 'bonne', 'journée', '.', 'Je', 'pense', ""m'"", 'endormir', 'rapidement', '.', 'Fais', 'de', 'beau', 'reve', '.', 'Bonne', 'nuit', '.', 'A', 'demain', '.', 'je', ""t'"", 'aime']"
39,122,"Tu sera obligés de le boire par contre , tu sera soul sa sera mieux pour nous",False,True,False,False,False,False,True,"['Tu', 'sera', 'obligés', 'de', 'le', 'boire', 'par', 'contre', ',', 'tu', 'sera', 'soul', 'sa', 'sera', 'mieux', 'pour', 'nous']"
40,123,Tout se qui faut faire une fois dans notre vie au moin comme aller a LA ou NY ou autres,False,True,False,False,False,False,True,"['Tout', 'se', 'qui', 'faut', 'faire', 'une', 'fois', 'dans', 'notre', 'vie', 'au', 'moin', 'comme', 'aller', 'a', 'LA', 'ou', 'NY', 'ou', 'autres']"
41,134,"Oui, parfait A demain",True,False,False,False,False,False,True,"['Oui', ',', 'parfait', 'A', 'demain']"
42,136,Enfin..,False,False,False,False,False,True,True,"['Enfin', '..']"
43,139,Je te trouvais bizarre ! Pardon alors ! Tu me dirais en tout cas hein ? Je regarde pour notre weekend des que j'ai fini mon russe,False,False,False,False,False,True,True,"['Je', 'te', 'trouvais', 'bizarre', '!', 'Pardon', 'alors', '!', 'Tu', 'me', 'dirais', 'en', 'tout', 'cas', 'hein', '?', 'Je', 'regarde', 'pour', 'notre', 'weekend', 'des', 'que', ""j'"", 'ai', 'fini', 'mon', 'russe']"
44,140,19h45 ! C'est tard ! j'ai pas cours de l'après midi mais je suis obligée d'aller a celui la ..,False,False,False,True,False,False,True,"['19', 'h45', '!', ""C'"", 'est', 'tard', '!', ""j'"", 'ai', 'pas', 'cours', 'de', ""l'"", 'après', 'midi', 'mais', 'je', 'suis', 'obligée', ""d'"", 'aller', 'a', 'celui', 'la', '..']"
45,141,"Ok alors plus vers 20h30 alors ! C'est environ 15 min de tram, et 15 min de marche ! Ca te va ?",True,False,False,False,False,False,True,"['Ok', 'alors', 'plus', 'vers', '20', 'h30', 'alors', '!', ""C'"", 'est', 'environ', '15', 'min', 'de', 'tram', ',', 'et', '15', 'min', 'de', 'marche', '!', 'Ca', 'te', 'va', '?']"
46,142,"Demain j'ai cours de 8h à 11h puis de 18h a 19h45 ! Entre j'irais faire des courses rapides, shampoing, p'tetre un peu de sport ou de dodo, fin bref j'suis sure que l'on se croisera ! Bonne nuit",False,False,False,False,False,True,True,"['Demain', ""j'"", 'ai', 'cours', 'de', '8', 'h', 'à', '11', 'h', 'puis', 'de', '18', 'h', 'a', '19', 'h45', '!', 'Entre', ""j'"", 'irais', 'faire', 'des', 'courses', 'rapides', ',', 'shampoing', ',', ""p'"", 'tetre', 'un', 'peu', 'de', 'sport', 'ou', 'de', 'dodo', ',', 'fin', 'bref', ""j'"", 'suis', 'sure', 'que', ""l'"", 'on', 'se', 'croisera', '!', 'Bonne', 'nuit']"
47,143,Plein d'étrangers ds mon cours!,False,False,True,False,False,False,True,"['Plein', ""d'"", 'étrangers', 'ds', 'mon', 'cours', '!']"
49,145,"Celui la ! Hier soirPetite joueuse va! J'tiens a tz dire que je suis vraiment content que sa s'passe coume sa entre nous en si peut de temps! Et les gars que ta refoul j'ai kiffer , surtout quand ta dis j'en aime un autre mais si peut etre c'est pas completement vrai je saaaais pas té quieeero",False,False,False,False,False,True,True,"['Celui', 'la', '!', 'Hier', 'soirPetite', 'joueuse', 'va', '!', ""J'"", 'tiens', 'a', 'tz', 'dire', 'que', 'je', 'suis', 'vraiment', 'content', 'que', 'sa', ""s'"", 'passe', 'coume', 'sa', 'entre', 'nous', 'en', 'si', 'peut', 'de', 'temps', '!', 'Et', 'les', 'gars', 'que', 'ta', 'refoul', ""j'"", 'ai', 'kiffer', ',', 'surtout', 'quand', 'ta', 'dis', ""j'"", 'en', 'aime', 'un', 'autre', 'mais', 'si', 'peut', 'etre', ""c'"", 'est', 'pas', 'completement', 'vrai', 'je', 'saaaais', 'pas', 'té', 'quieeero']"
50,149,"Great ! A demain mon amoureux, je pense fort a toi la",False,False,False,False,False,True,True,"['Great', '!', 'A', 'demain', 'mon', 'amoureux', ',', 'je', 'pense', 'fort', 'a', 'toi', 'la']"
51,150,Yes i know my dear,False,False,False,False,False,True,True,"['Yes', 'i', 'know', 'my', 'dear']"
52,151,Samedi oui jsui la mais je bouge bcp sur mtpl pvk j'ai des rdv avc ma mere puis après j'ai un annif LOL,False,False,False,True,False,False,True,"['Samedi', 'oui', 'jsui', 'la', 'mais', 'je', 'bouge', 'bcp', 'sur', 'mtpl', 'pvk', ""j'"", 'ai', 'des', 'rdv', 'avc', 'ma', 'mere', 'puis', 'après', ""j'"", 'ai', 'un', 'annif', 'LOL']"
53,157,Ha mais bientot il va faire froid,True,False,False,False,False,False,True,"['Ha', 'mais', 'bientot', 'il', 'va', 'faire', 'froid']"
54,158,Coucou! Ca va bien et toi! Ca va ca va pour les cours mais ca a commence costaud quand même! Et toi tes cours ca va? Non je ne pense pas qu'on viendra samedi soir pour la feria... Pas bien envie. On passera peut-etre y faire un petit tour mais rien n'est sur! Bon courage pour heberger tout ce petit monde! Biiiisoux,False,False,False,False,False,True,True,"['Coucou', '!', 'Ca', 'va', 'bien', 'et', 'toi', '!', 'Ca', 'va', 'ca', 'va', 'pour', 'les', 'cours', 'mais', 'ca', 'a', 'commence', 'costaud', 'quand', 'même', '!', 'Et', 'toi', 'tes', 'cours', 'ca', 'va', '?', 'Non', 'je', 'ne', 'pense', 'pas', ""qu'"", 'on', 'viendra', 'samedi', 'soir', 'pour', 'la', 'feria', '...', 'Pas', 'bien', 'envie', '.', 'On', 'passera', 'peut', '-', 'etre', 'y', 'faire', 'un', 'petit', 'tour', 'mais', 'rien', ""n'"", 'est', 'sur', '!', 'Bon', 'courage', 'pour', 'heberger', 'tout', 'ce', 'petit', 'monde', '!', 'Biiiisoux']"
55,161,Non j'ai cours jusqu'a 19h45 puis je pars a collioure,False,False,False,True,False,False,True,"['Non', ""j'"", 'ai', 'cours', ""jusqu'"", 'a', '19', 'h45', 'puis', 'je', 'pars', 'a', 'collioure']"
58,178,Pas aussi tranquille que les miens! je suis toujours en peignoire.,False,True,False,False,False,False,True,"['Pas', 'aussi', 'tranquille', 'que', 'les', 'miens', '!', 'je', 'suis', 'toujours', 'en', 'peignoire', '.']"
59,182,"C'est bon [_forename_] est en mode trop , il m'a acheté du mont blanc pistache ! A bientot copine !! Je languis de faire un trip avec toi",False,False,False,False,False,True,True,"[""C'"", 'est', 'bon', '[', '_forename_', ']', 'est', 'en', 'mode', 'trop', ',', 'il', ""m'"", 'a', 'acheté', 'du', 'mont', 'blanc', 'pistache', '!', 'A', 'bientot', 'copine', '!!', 'Je', 'languis', 'de', 'faire', 'un', 'trip', 'avec', 'toi']"
60,183,Ok tkt ça me dérangeait pas !! Gros bisous magiques ma belle,False,False,False,False,False,True,True,"['Ok', 'tkt', 'ça', 'me', 'dérangeait', 'pas', '!!', 'Gros', 'bisous', 'magiques', 'ma', 'belle']"
61,185,Merci bcp ma puce ! À bientôt gros bisous,False,False,False,False,False,True,True,"['Merci', 'bcp', 'ma', 'puce', '!', 'À', 'bientôt', 'gros', 'bisous']"
62,186,Pas grave tkt pas ! Bonne nuit bisous,False,False,False,False,False,True,True,"['Pas', 'grave', 'tkt', 'pas', '!', 'Bonne', 'nuit', 'bisous']"
63,187,Nn ça va j'ai à nouveau internet et sinon jcherche un peu à cause de l'android mais ça va c'est - pire que ce que jpensais et puis jprofité pr 1 fois que jne paie pas lol,False,True,False,False,False,False,True,"['Nn', 'ça', 'va', ""j'"", 'ai', 'à', 'nouveau', 'internet', 'et', 'sinon', 'jcherche', 'un', 'peu', 'à', 'cause', 'de', ""l'"", 'android', 'mais', 'ça', 'va', ""c'"", 'est', '-', 'pire', 'que', 'ce', 'que', 'jpensais', 'et', 'puis', 'jprofité', 'pr', '1', 'fois', 'que', 'jne', 'paie', 'pas', 'lol']"
64,188,Coucou ça va ? Tu trouves pas que quelqu'un ressemble à [_nickname_] à la maison ? Mdr bisous bonne nuit,False,False,False,False,False,True,True,"['Coucou', 'ça', 'va', '?', 'Tu', 'trouves', 'pas', 'que', ""quelqu'"", 'un', 'ressemble', 'à', '[', '_nickname_', ']', 'à', 'la', 'maison', '?', 'Mdr', 'bisous', 'bonne', 'nuit']"
66,192,J'espère qu'on va se voir vite malheur! Ca fait une éternité.,False,False,False,False,False,True,True,"[""J'"", 'espère', ""qu'"", 'on', 'va', 'se', 'voir', 'vite', 'malheur', '!', 'Ca', 'fait', 'une', 'éternité', '.']"
67,195,Ahh c'est bon sa tu vas bien ?,True,False,False,False,False,False,True,"['Ahh', ""c'"", 'est', 'bon', 'sa', 'tu', 'vas', 'bien', '?']"
68,196,Wesh trkl tkt tu fou quoi ?,False,True,False,False,False,False,True,"['Wesh', 'trkl', 'tkt', 'tu', 'fou', 'quoi', '?']"
69,198,"Ok, on peut faire ca",True,False,False,False,False,False,True,"['Ok', ',', 'on', 'peut', 'faire', 'ca']"
70,201,Tkt mon amante,False,True,False,False,False,False,True,"['Tkt', 'mon', 'amante']"
72,213,Concert ou pas concert?,False,False,False,False,False,True,True,"['Concert', 'ou', 'pas', 'concert', '?']"
73,216,C'est toi ki anle bip mais c bon le portail est ouvert bisous doux a tte,False,False,False,False,False,True,True,"[""C'"", 'est', 'toi', 'ki', 'anle', 'bip', 'mais', 'c', 'bon', 'le', 'portail', 'est', 'ouvert', 'bisous', 'doux', 'a', 'tte']"
75,218,Je via voir avc [_forename_] je le saurai ds l âprem je te dis cet âprem,False,False,False,False,False,True,True,"['Je', 'via', 'voir', 'avc', '[', '_forename_', ']', 'je', 'le', 'saurai', 'ds', 'l', 'âprem', 'je', 'te', 'dis', 'cet', 'âprem']"
